"","jds_id","min_width","max_width","min_height","max_height","orientation","road_type","proper_kernel","width_cat","height_cat","width","total_width","canyon_height","count_of_roads"
"1",1,0,10,0,0,"EW",73,"y","0-10","0-0",3.15,9.15,0,162
"2",2,0,10,0,0,"NS",73,"y","0-10","0-0",3.15,9.15,0,135
"3",3,0,10,0,0,"SENW",73,"y","0-10","0-0",3.15,9.15,0,128
"4",4,0,10,0,0,"SWNE",73,"y","0-10","0-0",3.15,9.15,0,153
"5",5,0,10,0,10,"EW",74,"y","0-10","0-10",3.14227941176471,9.14227941176471,5.59926470588235,816
"6",6,0,10,0,10,"NS",74,"y","0-10","0-10",3.15,9.15,5.51125,800
"7",7,0,10,0,10,"SENW",74,"y","0-10","0-10",3.15,9.15,5.47094430992736,826
"8",8,0,10,0,10,"SWNE",74,"y","0-10","0-10",3.14604767879548,9.14604767879548,5.41781681304893,797
"9",9,0,10,10,15,"EW",1,"Y","0-10","10-15",3.15,9.15,12.7931034482759,58
"10",10,0,10,10,15,"NS",2,"Y","0-10","10-15",3.15,9.15,12.9464285714286,56
"11",11,0,10,10,15,"SENW",3,"Y","0-10","10-15",3.15,9.15,12.7118644067797,59
"12",12,0,10,10,15,"SWNE",4,"Y","0-10","10-15",3.15,9.15,12.6862745098039,51
"13",13,0,10,15,20,"EW",1,"N","0-10","15-20",3.15,9.15,17.6428571428571,28
"14",14,0,10,15,20,"NS",2,"N","0-10","15-20",3.15,9.15,17.6595744680851,47
"15",15,0,10,15,20,"SENW",3,"N","0-10","15-20",3.15,9.15,17.7857142857143,28
"16",16,0,10,15,20,"SWNE",4,"N","0-10","15-20",3.15,9.15,17.4444444444444,36
"17",17,0,10,20,25,"EW",1,"N","0-10","20-25",3.15,9.15,23.1,20
"18",18,0,10,20,25,"NS",2,"N","0-10","20-25",3.15,9.15,22.7777777777778,9
"19",19,0,10,20,25,"SENW",3,"N","0-10","20-25",3.15,9.15,23,6
"20",20,0,10,20,25,"SWNE",4,"N","0-10","20-25",3.15,9.15,22.1666666666667,12
"21",21,0,10,25,30,"EW",1,"N","0-10","25-30",3.15,9.15,27.9444444444444,18
"22",22,0,10,25,30,"NS",2,"N","0-10","25-30",3.15,9.15,28.1,10
"23",23,0,10,25,30,"SENW",3,"N","0-10","25-30",3.15,9.15,27.1538461538462,13
"24",24,0,10,25,30,"SWNE",4,"N","0-10","25-30",3.15,9.15,27.3571428571429,14
"25",25,0,10,30,35,"EW",1,"N","0-10","30-35",3.15,9.15,32.75,8
"26",26,0,10,30,35,"NS",2,"N","0-10","30-35",3.15,9.15,32.875,8
"27",27,0,10,30,35,"SENW",3,"N","0-10","30-35",3.15,9.15,33.6666666666667,9
"28",28,0,10,30,35,"SWNE",4,"N","0-10","30-35",3.15,9.15,33.25,4
"29",29,0,10,35,45,"EW",1,"N","0-10","35-45",3.15,9.15,39.2,5
"30",30,0,10,35,45,"NS",2,"N","0-10","35-45",3.15,9.15,38.8,5
"31",31,0,10,35,45,"SENW",3,"N","0-10","35-45",3.15,9.15,42,4
"32",32,0,10,35,45,"SWNE",4,"N","0-10","35-45",3.15,9.15,38.5454545454545,11
"33",33,0,10,45,500,"EW",1,"N","0-10","45-500",3.15,9.15,68.5,4
"34",34,0,10,45,500,"NS",2,"N","0-10","45-500",NA,NA,NA,NA
"35",35,0,10,45,500,"SENW",3,"N","0-10","45-500",3.15,9.15,56.5,2
"36",36,0,10,45,500,"SWNE",4,"N","0-10","45-500",3.15,9.15,72.2,5
"37",37,10,15,0,0,"EW",73,"y","10-15","0-0",6.3,12.3,0,1410
"38",38,10,15,0,0,"NS",73,"y","10-15","0-0",6.3,12.3,0,1459
"39",39,10,15,0,0,"SENW",73,"y","10-15","0-0",6.3,12.3,0,1256
"40",40,10,15,0,0,"SWNE",73,"y","10-15","0-0",6.29876470588235,12.2987647058824,0,1275
"41",41,10,15,0,10,"EW",74,"y","10-15","0-10",6.29989059460961,12.2998905946096,5.13609683245346,57584
"42",42,10,15,0,10,"NS",74,"y","10-15","0-10",6.29994767007226,12.2999476700723,5.15939862114794,60195
"43",43,10,15,0,10,"SENW",74,"y","10-15","0-10",6.29996746271123,12.2999674627112,5.15471222575714,48406
"44",44,10,15,0,10,"SWNE",74,"y","10-15","0-10",6.29970749071399,12.299707490714,5.14826661163846,48460
"45",45,10,15,10,15,"EW",9,"Y","10-15","10-15",6.3,12.3,12.6186528497409,965
"46",46,10,15,10,15,"NS",10,"Y","10-15","10-15",6.3,12.3,12.5829831932773,952
"47",47,10,15,10,15,"SENW",11,"Y","10-15","10-15",6.3,12.3,12.6135321100917,872
"48",48,10,15,10,15,"SWNE",12,"Y","10-15","10-15",6.3,12.3,12.6166456494325,793
"49",49,10,15,15,20,"EW",13,"Y","10-15","15-20",6.3,12.3,17.7724719101124,356
"50",50,10,15,15,20,"NS",14,"Y","10-15","15-20",6.3,12.3,17.6401028277635,389
"51",51,10,15,15,20,"SENW",15,"Y","10-15","15-20",6.3,12.3,17.7835616438356,365
"52",52,10,15,15,20,"SWNE",16,"Y","10-15","15-20",6.3,12.3,17.6280323450135,371
"53",53,10,15,20,25,"EW",17,"Y","10-15","20-25",6.3,12.3,22.6115702479339,242
"54",54,10,15,20,25,"NS",18,"Y","10-15","20-25",6.3,12.3,22.8986784140969,227
"55",55,10,15,20,25,"SENW",19,"Y","10-15","20-25",6.3,12.3,22.8012820512821,156
"56",56,10,15,20,25,"SWNE",20,"Y","10-15","20-25",6.3,12.3,22.8970588235294,204
"57",57,10,15,25,30,"EW",21,"Y","10-15","25-30",6.3,12.3,27.9230769230769,156
"58",58,10,15,25,30,"NS",22,"Y","10-15","25-30",6.3,12.3,27.6219512195122,164
"59",59,10,15,25,30,"SENW",23,"Y","10-15","25-30",6.3,12.3,27.8782608695652,115
"60",60,10,15,25,30,"SWNE",24,"Y","10-15","25-30",6.3,12.3,27.7894736842105,114
"61",61,10,15,30,35,"EW",25,"Y","10-15","30-35",6.3,12.3,32.6184210526316,76
"62",62,10,15,30,35,"NS",26,"Y","10-15","30-35",6.3,12.3,32.969387755102,98
"63",63,10,15,30,35,"SENW",27,"Y","10-15","30-35",6.3,12.3,32.8133333333333,75
"64",64,10,15,30,35,"SWNE",28,"Y","10-15","30-35",6.3,12.3,32.4827586206897,58
"65",65,10,15,35,45,"EW",5,"Y","10-15","35-45",6.3,12.3,39.3432835820896,67
"66",66,10,15,35,45,"NS",6,"Y","10-15","35-45",6.3,12.3,39.5714285714286,98
"67",67,10,15,35,45,"SENW",7,"Y","10-15","35-45",6.3,12.3,39.2608695652174,46
